seg_id,seg_type,position,timestamp,real,i,j,k,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,linear_x,linear_y,linear_z,stability
1,?,NONE,20057,0.0425,0.8143,-0.5783,0.0253,1.0273,0.5781,-9.8281,-0.0039,-0.0820,0.2598,0.2383,0.0977,0.1172,4
1,?,NONE,20067,0.0427,0.8140,-0.5789,0.0245,0.9883,0.5781,-9.8672,-0.0039,-0.0820,0.2598,0.2383,0.0977,0.1172,4
1,?,NONE,20077,0.0427,0.8137,-0.5793,0.0240,0.9141,0.6133,-9.8672,-0.0039,-0.0820,0.2598,0.2383,0.0977,0.1172,4
1,?,NONE,20087,0.0427,0.8134,-0.5797,0.0237,0.8750,0.5781,-9.8281,-0.0039,-0.0820,0.2598,0.2383,0.0977,0.1172,4
1,?,NONE,20247,0.0411,0.8123,-0.5815,0.0180,0.4531,0.5391,-10.0664,-0.0586,-0.0566,-0.0156,-0.0820,0.0117,0.0625,4
1,?,NONE,20257,0.0410,0.8123,-0.5815,0.0176,0.4531,0.5000,-10.1328,-0.0586,-0.0566,-0.0156,-0.0820,0.0117,0.0625,4
1,?,NONE,20268,0.0410,0.8124,-0.5814,0.0173,0.4922,0.4609,-10.1055,-0.0586,-0.0566,-0.0156,-0.0820,0.0117,0.0625,4
1,?,NONE,20278,0.0411,0.8124,-0.5814,0.0170,0.4531,0.4219,-10.1016,-0.0586,-0.0566,-0.0156,-0.0820,0.0117,0.0625,4
1,?,NONE,20328,0.0435,0.8124,-0.5812,0.0161,0.7227,0.5781,-10.0273,-0.1309,0.0547,-0.0137,-0.2344,-0.0586,-0.0156,4
1,?,NONE,20338,0.0439,0.8125,-0.5811,0.0161,0.7969,0.5391,-10.0273,-0.1309,0.0547,-0.0137,-0.2344,-0.0586,-0.0156,4
1,R,NONE,20348,0.0443,0.8125,-0.5811,0.0161,0.7578,0.5000,-9.9844,-0.1309,0.0547,-0.0137,-0.2344,-0.0586,-0.0156,4
1,R,NONE,20358,0.0446,0.8124,-0.5811,0.0160,0.7578,0.5000,-9.9844,-0.1309,0.0547,-0.0137,-0.2344,-0.0586,-0.0156,4
1,R,NONE,20408,0.0469,0.8127,-0.5806,0.0162,0.9883,0.4609,-10.0664,-0.0820,0.0703,-0.0273,0.0859,-0.1055,0.2070,4
1,R,NONE,20458,0.0486,0.8137,-0.5790,0.0161,0.7578,0.3867,-10.0273,-0.0605,0.0625,-0.0859,0.0547,-0.0312,0.0469,4
1,R,NONE,20468,0.0490,0.8140,-0.5786,0.0162,0.8359,0.5781,-9.9062,-0.0605,0.0625,-0.0859,0.0547,-0.0312,0.0469,4
1,R,NONE,20478,0.0493,0.8143,-0.5782,0.0163,0.7578,0.4609,-9.9492,-0.0605,0.0625,-0.0859,0.0547,-0.0312,0.0469,4
1,R,NONE,20509,0.0497,0.8151,-0.5770,0.0164,0.6836,0.5000,-9.9492,-0.0273,0.0195,-0.0937,-0.0156,-0.0625,0.1250,4
1,R,NONE,20523,0.0500,0.8153,-0.5767,0.0163,0.6836,0.5000,-9.9062,-0.0273,0.0195,-0.0937,-0.0156,-0.0625,0.1250,4
1,R,NONE,20535,0.0504,0.8155,-0.5764,0.0164,0.7578,0.4609,-9.8672,-0.0273,0.0195,-0.0937,-0.0156,-0.0625,0.1250,4
1,R,NONE,20547,0.0512,0.8157,-0.5759,0.0167,0.7578,0.4609,-9.8672,-0.0273,0.0195,-0.0937,-0.0156,-0.0625,0.1250,4
1,R,NONE,20558,0.0516,0.8159,-0.5757,0.0168,0.7578,0.4609,-9.8672,-0.0273,0.0195,-0.0937,-0.0156,-0.0625,0.1250,4
1,R,NONE,20569,0.0520,0.8159,-0.5756,0.0168,0.9141,0.5000,-9.8281,-0.0273,0.0195,-0.0937,-0.0156,-0.0625,0.1250,4
1,R,NONE,20598,0.0526,0.8160,-0.5754,0.0163,0.7969,0.5391,-9.8711,-0.0273,0.0195,-0.0937,-0.0156,-0.1172,0.2305,4
1,R,NONE,20608,0.0528,0.8160,-0.5754,0.0162,0.7227,0.5391,-9.8711,-0.0273,0.0195,-0.0937,-0.0156,-0.1172,0.2305,4
1,R,NONE,20619,0.0530,0.8159,-0.5755,0.0162,0.7578,0.5781,-9.9062,-0.0273,0.0195,-0.0937,-0.0156,-0.1172,0.2305,4
1,R,NONE,20633,0.0533,0.8158,-0.5757,0.0164,0.9492,0.5781,-10.0273,-0.0273,0.0195,-0.0937,-0.0156,-0.1172,0.2305,4
1,R,NONE,20649,0.0539,0.8154,-0.5761,0.0168,0.9492,0.5781,-10.0625,-0.0332,0.0742,0.0547,-0.0156,-0.1172,0.2305,4
1,R,NONE,20659,0.0533,0.8153,-0.5764,0.0170,1.0273,0.5000,-10.0664,-0.0332,0.0742,0.0547,-0.0156,-0.1172,0.2305,4
1,R,NONE,20678,0.0524,0.8151,-0.5768,0.0168,1.0273,0.5000,-10.1328,-0.0332,0.0742,0.0547,0.2773,0.0312,-0.1562,4
1,R,NONE,20689,0.0526,0.8149,-0.5770,0.0164,0.9492,0.5391,-10.1367,-0.0332,0.0742,0.0547,0.2773,0.0312,-0.1562,4
1,R,NONE,20699,0.0527,0.8147,-0.5773,0.0161,0.8750,0.6523,-10.1328,-0.0332,0.0742,0.0547,0.2773,0.0312,-0.1562,4
1,R,NONE,20709,0.0529,0.8145,-0.5776,0.0158,0.7969,0.6133,-10.1016,-0.0332,0.0742,0.0547,0.2773,0.0312,-0.1562,4
1,R,NONE,20819,0.0557,0.8112,-0.5819,0.0151,0.8750,0.3086,-10.1055,-0.1016,0.0469,0.1152,0.2773,0.0312,-0.1562,4
1,R,NONE,20829,0.0564,0.8107,-0.5825,0.0153,0.8750,0.3086,-10.1055,-0.1016,0.0469,0.1152,0.2773,0.0312,-0.1562,4
1,R,NONE,20949,0.0800,0.8026,-0.5903,0.0333,0.9492,-1.1836,-8.8398,-0.1289,0.7187,0.2598,0.0586,-0.5547,0.0234,4
2,?,NONE,21410,0.0263,0.2568,-0.9479,0.1867,2.0625,-6.0508,-9.9883,-0.0703,0.2109,4.6504,-1.4414,-2.8320,0.1328,4
2,?,NONE,21460,0.0315,0.1357,-0.9707,0.1958,2.9414,-7.1211,-9.9102,0.0508,1.4648,4.8223,0.7148,-2.9570,-0.6641,4
2,?,NONE,21470,0.0329,0.1127,-0.9735,0.1963,2.9805,-7.3125,-9.7930,0.0508,1.4648,4.8223,0.7148,-2.9570,-0.6641,4
2,?,NONE,21500,0.0333,0.0457,-0.9796,0.1927,3.2500,-7.2383,-9.9844,-0.4375,0.8789,4.3496,0.7148,-2.9570,-0.6641,4
2,?,NONE,21510,0.0337,0.0230,-0.9808,0.1907,3.2891,-7.2773,-10.0234,-0.4375,0.8789,4.3496,0.7148,-2.9570,-0.6641,4
2,?,NONE,21521,0.0352,0.0004,-0.9814,0.1886,3.3242,-7.3906,-9.9492,-0.4375,0.8789,4.3496,0.7148,-2.9570,-0.6641,4
2,?,NONE,21611,0.0589,-0.1697,-0.9708,0.1592,4.7812,-6.5469,-8.7227,-0.9316,0.7988,3.1738,0.7148,-2.9570,-0.6641,4
2,?,NONE,21640,0.0677,-0.2163,-0.9628,0.1470,5.8945,-6.5117,-8.1133,-0.7559,1.3027,3.0742,0.7148,-2.9570,-0.6641,4
2,?,NONE,21651,0.0699,-0.2292,-0.9602,0.1432,6.3516,-5.8984,-7.7266,-0.7559,1.3027,3.0742,0.7148,-2.9570,-0.6641,4
2,?,NONE,21661,0.0709,-0.2407,-0.9579,0.1397,6.5039,-5.4766,-7.6914,-0.7559,1.3027,3.0742,0.7148,-2.9570,-0.6641,4
2,?,NONE,21671,0.0705,-0.2505,-0.9558,0.1368,6.6211,-5.2852,-7.6094,-0.7559,1.3027,3.0742,0.7148,-2.9570,-0.6641,4
2,?,NONE,21691,0.0668,-0.2670,-0.9522,0.1324,6.7734,-4.9023,-7.5352,-0.7559,1.3027,3.0742,0.7148,-2.9570,-0.6641,4
2,?,NONE,21701,0.0643,-0.2740,-0.9506,0.1310,6.5820,-4.7852,-7.5742,-0.7559,1.3027,3.0742,0.7148,-2.9570,-0.6641,4
2,?,NONE,21711,0.0618,-0.2805,-0.9490,0.1301,6.4687,-4.6328,-7.6094,-0.7559,1.3027,3.0742,0.7148,-2.9570,-0.6641,4
2,?,NONE,21741,0.0579,-0.2955,-0.9447,0.1297,6.8516,-4.7109,-7.9922,-0.7559,1.3027,3.0742,0.7148,-2.9570,-0.6641,4
2,?,NONE,21751,0.0576,-0.2984,-0.9438,0.1302,7.1953,-4.6719,-8.1836,-0.7559,1.3027,3.0742,0.7148,-2.9570,-0.6641,4
2,?,NONE,21761,0.0576,-0.2997,-0.9432,0.1312,7.1953,-4.6719,-8.1836,-0.7559,1.3027,3.0742,0.7148,-2.9570,-0.6641,4
2,?,NONE,21772,0.0573,-0.2997,-0.9431,0.1326,7.4258,-4.8633,-8.6016,-0.7559,1.3027,3.0742,0.7148,-2.9570,-0.6641,4
2,?,NONE,21925,0.0515,-0.1760,-0.9723,0.1449,4.6289,-6.2812,-9.4844,0.2109,-0.3301,-2.6602,0.7148,-2.9570,-0.6641,4
2,?,NONE,21951,0.0510,-0.1296,-0.9795,0.1454,3.5547,-6.4336,-9.6016,0.2109,-0.3301,-2.6602,0.7148,-2.9570,-0.6641,4
2,?,NONE,22021,0.0615,-0.0087,-0.9878,0.1428,2.8672,-7.0469,-9.2578,0.0918,-0.0723,-3.5859,0.7148,-2.9570,-0.6641,4
2,?,NONE,22072,0.0643,0.0871,-0.9844,0.1389,0.6445,-6.5469,-8.7227,0.0605,-0.5176,-3.8437,0.3320,-4.2969,0.4961,4
2,?,NONE,22273,0.0911,0.4092,-0.8950,0.1526,0.2227,-2.8711,-9.6406,0.4766,0.1582,-3.0605,0.3320,-4.2969,0.4961,4
2,?,NONE,22283,0.0933,0.4224,-0.8885,0.1533,0.2227,-2.6797,-9.6016,0.4766,0.1582,-3.0605,0.3320,-4.2969,0.4961,4
2,?,NONE,22293,0.0950,0.4351,-0.8821,0.1536,-0.0820,-2.5273,-9.5625,0.4766,0.1582,-3.0605,0.3320,-4.2969,0.4961,4
2,?,NONE,22322,0.0997,0.4691,-0.8638,0.1549,-1.0781,-1.8359,-9.8281,0.4766,0.1582,-3.0605,0.3320,-4.2969,0.4961,4
2,?,NONE,22333,0.1017,0.4788,-0.8580,0.1559,-1.1172,-1.8359,-9.9062,0.4766,0.1582,-3.0605,0.3320,-4.2969,0.4961,4
2,?,NONE,22347,0.1040,0.4879,-0.8523,0.1572,-0.5820,-1.7969,-10.0664,0.4766,0.1582,-3.0605,0.3320,-4.2969,0.4961,4
2,?,NONE,22359,0.1061,0.4954,-0.8475,0.1584,-0.5039,-1.8750,-10.0625,0.4766,0.1582,-3.0605,0.3320,-4.2969,0.4961,4
2,?,NONE,22603,0.1165,0.4674,-0.8653,0.1385,0.8359,-2.6797,-9.4844,-0.4434,-0.2988,1.9199,-4.2930,-0.5234,-0.7969,4
2,?,NONE,22613,0.1142,0.4580,-0.8710,0.1364,0.8359,-2.6797,-9.4844,-0.4434,-0.2988,1.9199,-4.2930,-0.5234,-0.7969,4
2,?,NONE,22624,0.1121,0.4482,-0.8766,0.1345,0.6445,-2.6797,-9.4492,-0.4434,-0.2988,1.9199,-4.2930,-0.5234,-0.7969,4
2,?,NONE,22634,0.1105,0.4381,-0.8821,0.1329,0.5664,-2.7930,-9.3672,-0.4434,-0.2988,1.9199,-4.2930,-0.5234,-0.7969,4
2,?,NONE,22843,0.0607,0.1584,-0.9762,0.1354,0.5664,-4.8633,-9.4453,0.0000,-0.2852,3.3125,-4.2930,-0.5234,-0.7969,4
2,?,NONE,22904,0.0493,0.0598,-0.9865,0.1443,1.2578,-5.5508,-9.1836,0.1172,0.1211,3.3223,-4.2930,-0.5234,-0.7969,4
2,?,NONE,22914,0.0459,0.0436,-0.9874,0.1451,1.2578,-5.5156,-9.2187,0.1172,0.1211,3.3223,-4.2930,-0.5234,-0.7969,4
2,?,NONE,22924,0.0422,0.0263,-0.9880,0.1459,1.2578,-5.5156,-9.2187,0.1172,0.1211,3.3223,-4.2930,-0.5234,-0.7969,4
2,?,NONE,22935,0.0389,0.0093,-0.9883,0.1468,1.0664,-5.8594,-9.1797,0.1172,0.1211,3.3223,-4.2930,-0.5234,-0.7969,4
2,?,NONE,22984,0.0318,-0.0735,-0.9849,0.1533,2.6758,-6.7031,-9.1055,0.2051,0.3203,3.3535,1.0000,-3.1523,0.4062,4
2,?,NONE,22994,0.0306,-0.0892,-0.9834,0.1550,2.9805,-6.7031,-9.2578,0.2051,0.3203,3.3535,1.0000,-3.1523,0.4062,4
2,?,NONE,23048,0.0256,-0.1583,-0.9741,0.1599,4.2070,-6.3945,-9.7227,0.0820,0.2051,2.7246,1.0000,-3.1523,0.4062,4
2,?,NONE,23064,0.0249,-0.1805,-0.9698,0.1617,4.8594,-6.6641,-9.6445,0.0820,0.2051,2.7246,1.0000,-3.1523,0.4062,4
2,?,NONE,23074,0.0235,-0.1902,-0.9680,0.1624,4.9727,-6.4727,-9.7187,0.0820,0.2051,2.7246,1.0000,-3.1523,0.4062,4
2,?,NONE,23155,0.0208,-0.2323,-0.9587,0.1625,5.8945,-5.5156,-9.4453,0.0664,0.3262,0.4043,1.0000,-3.1523,0.4062,4
2,?,NONE,23194,0.0229,-0.2281,-0.9598,0.1619,5.0898,-4.9766,-9.3711,-0.0098,0.0352,-0.2402,6.1992,-2.1562,0.0586,4
2,?,NONE,23275,0.0311,-0.1855,-0.9692,0.1589,3.8633,-4.5547,-9.3281,-0.0215,0.0039,-1.3633,4.4375,-1.3359,0.2969,4
2,?,NONE,23285,0.0321,-0.1774,-0.9707,0.1587,3.8633,-4.5937,-9.4102,-0.0215,0.0039,-1.3633,4.4375,-1.3359,0.2969,4
2,?,NONE,23295,0.0330,-0.1692,-0.9722,0.1584,3.7109,-4.7109,-9.4102,-0.0215,0.0039,-1.3633,4.4375,-1.3359,0.2969,4
2,?,NONE,23305,0.0339,-0.1604,-0.9737,0.1581,3.4023,-4.6719,-9.3281,-0.0215,0.0039,-1.3633,4.4375,-1.3359,0.2969,4
2,?,NONE,23364,0.0462,-0.1005,-0.9816,0.1553,2.9805,-4.7852,-9.3281,0.0195,0.1680,-2.1289,4.4375,-1.3359,0.2969,4
2,?,NONE,23375,0.0489,-0.0892,-0.9826,0.1555,3.0195,-4.9766,-9.3320,0.0195,0.1680,-2.1289,4.4375,-1.3359,0.2969,4
2,?,NONE,23385,0.0514,-0.0770,-0.9835,0.1556,2.9414,-5.1289,-9.2969,0.0195,0.1680,-2.1289,4.4375,-1.3359,0.2969,4
2,?,NONE,23496,0.0676,0.0707,-0.9839,0.1496,1.2969,-4.7109,-9.5273,0.1621,0.1680,-2.7793,4.4375,-1.3359,0.2969,4
2,?,NONE,23515,0.0729,0.0980,-0.9811,0.1501,1.4883,-4.6719,-9.6445,0.1621,0.1680,-2.7793,4.4375,-1.3359,0.2969,4
2,?,NONE,23536,0.0760,0.1258,-0.9777,0.1502,1.7539,-4.7109,-9.6055,0.1621,0.1680,-2.7793,4.4375,-1.3359,0.2969,4
2,?,NONE,23550,0.0771,0.1401,-0.9756,0.1501,1.4492,-4.6719,-9.4844,0.1621,0.1680,-2.7793,4.4375,-1.3359,0.2969,4
2,?,NONE,23562,0.0784,0.1532,-0.9736,0.1497,1.4492,-4.6328,-9.4883,0.1621,0.1680,-2.7793,4.4375,-1.3359,0.2969,4
2,?,NONE,23685,0.1130,0.3253,-0.9269,0.1494,0.8750,-3.0625,-9.6445,0.1836,0.1289,-2.7559,-2.5586,-0.9688,-0.2812,4
2,?,NONE,23695,0.1155,0.3369,-0.9224,0.1498,0.5312,-2.8320,-9.6836,0.1836,0.1289,-2.7559,-2.5586,-0.9688,-0.2812,4
2,?,NONE,23816,0.1360,0.4409,-0.8746,0.1490,1.7188,-1.7227,-9.5234,0.1895,0.0879,-1.4297,-3.2070,-0.6953,-0.0625,4
2,?,NONE,23866,0.1402,0.4658,-0.8607,0.1503,2.7148,-2.0273,-9.7930,0.1074,0.0176,-1.0684,-1.9609,-0.5039,-0.3672,4
2,?,NONE,23876,0.1406,0.4703,-0.8584,0.1491,2.7148,-1.9141,-9.6836,0.1074,0.0176,-1.0684,-1.9609,-0.5039,-0.3672,4
2,?,NONE,23907,0.1418,0.4822,-0.8525,0.1432,2.6367,-1.1836,-9.6445,-0.1934,-0.2187,-0.9453,-1.9609,-0.5039,-0.3672,4
2,?,NONE,23917,0.1425,0.4859,-0.8506,0.1414,2.6758,-1.2227,-9.6445,-0.1934,-0.2187,-0.9453,-1.9609,-0.5039,-0.3672,4
2,?,NONE,23936,0.1447,0.4927,-0.8469,0.1385,2.5977,-0.9922,-9.6016,-0.1934,-0.2187,-0.9453,-1.5391,-0.1797,-0.3750,4
2,?,NONE,23947,0.1457,0.4955,-0.8452,0.1373,2.5977,-0.9922,-9.5625,-0.1934,-0.2187,-0.9453,-1.5391,-0.1797,-0.3750,4
2,?,NONE,23957,0.1469,0.4984,-0.8436,0.1360,2.4844,-0.8789,-9.5625,-0.1934,-0.2187,-0.9453,-1.5391,-0.1797,-0.3750,4
2,?,NONE,23976,0.1488,0.5032,-0.8408,0.1331,2.7891,-0.8008,-9.4492,-0.1934,-0.2187,-0.9453,-1.1797,-0.2539,-0.2539,4
2,?,NONE,23987,0.1492,0.5052,-0.8398,0.1313,2.9414,-0.6484,-9.4883,-0.1934,-0.2187,-0.9453,-1.1797,-0.2539,-0.2539,4
2,?,NONE,23997,0.1494,0.5072,-0.8389,0.1292,3.0195,-0.8008,-9.5234,-0.1934,-0.2187,-0.9453,-1.1797,-0.2539,-0.2539,4
2,?,NONE,24011,0.1492,0.5090,-0.8382,0.1267,3.1719,-0.7266,-9.5234,-0.1934,-0.2187,-0.9453,-1.1797,-0.2539,-0.2539,4
2,?,NONE,24023,0.1489,0.5108,-0.8376,0.1240,3.0977,-0.7656,-9.5273,-0.1934,-0.2187,-0.9453,-1.1797,-0.2539,-0.2539,4
2,?,NONE,24047,0.1487,0.5154,-0.8360,0.1156,3.2109,-0.6875,-9.5273,-0.1934,-0.2187,-0.9453,-1.1797,-0.2539,-0.2539,4
2,?,NONE,24057,0.1495,0.5167,-0.8354,0.1131,3.1328,-0.5742,-9.5664,-0.1934,-0.2187,-0.9453,-1.1797,-0.2539,-0.2539,4
2,?,NONE,24067,0.1508,0.5179,-0.8347,0.1110,3.2109,-0.4180,-9.6016,-0.1934,-0.2187,-0.9453,-1.1797,-0.2539,-0.2539,4
2,?,NONE,24077,0.1526,0.5193,-0.8337,0.1092,3.4805,-0.4180,-9.5234,-0.1934,-0.2187,-0.9453,-1.1797,-0.2539,-0.2539,4
2,?,NONE,24087,0.1544,0.5206,-0.8328,0.1076,3.4805,-0.4180,-9.5234,-0.1934,-0.2187,-0.9453,-1.1797,-0.2539,-0.2539,4
2,?,NONE,24098,0.1558,0.5218,-0.8320,0.1061,4.2852,-0.4961,-9.6016,-0.1934,-0.2187,-0.9453,-1.1797,-0.2539,-0.2539,4
2,?,NONE,24170,0.1602,0.5322,-0.8268,0.0870,3.6719,0.0781,-9.6406,-0.5469,-0.2734,-0.4629,0.2109,-0.5117,-0.2109,4
2,?,NONE,24187,0.1625,0.5361,-0.8245,0.0804,3.7109,0.2305,-9.6406,-0.5469,-0.2734,-0.4629,0.2109,-0.5117,-0.2109,4
2,?,NONE,24197,0.1636,0.5381,-0.8232,0.0773,3.9023,0.1953,-9.6055,-0.5469,-0.2734,-0.4629,0.2109,-0.5117,-0.2109,4
2,?,NONE,24267,0.1676,0.5543,-0.8137,0.0512,2.8281,1.0000,-9.5625,-0.6367,-0.3691,-0.6895,0.0039,-0.1602,-0.0586,4
2,?,NONE,24277,0.1689,0.5568,-0.8120,0.0476,2.7891,1.1133,-9.5625,-0.6367,-0.3691,-0.6895,0.0039,-0.1602,-0.0586,4
2,?,NONE,24518,0.3022,0.5628,-0.7674,0.0553,4.4375,2.9922,-8.6055,-0.9043,0.9785,-0.1426,0.0039,-0.1602,-0.0586,4
2,?,NONE,24528,0.3099,0.5614,-0.7653,0.0551,4.4766,3.1445,-8.4180,-0.9043,0.9785,-0.1426,0.0039,-0.1602,-0.0586,4
2,?,NONE,24538,0.3177,0.5599,-0.7632,0.0554,4.5898,3.1836,-8.2227,-0.9043,0.9785,-0.1426,0.0039,-0.1602,-0.0586,4
2,?,NONE,24568,0.3388,0.5559,-0.7570,0.0552,5.3164,3.2187,-7.7578,-0.8594,1.3047,-0.1094,0.0039,-0.1602,-0.0586,4
2,?,NONE,24578,0.3446,0.5544,-0.7556,0.0543,5.4336,3.3359,-7.7617,-0.8594,1.3047,-0.1094,0.0039,-0.1602,-0.0586,4
2,?,NONE,24588,0.3494,0.5529,-0.7546,0.0530,5.4336,3.3359,-7.7617,-0.8594,1.3047,-0.1094,0.0039,-0.1602,-0.0586,4
2,?,NONE,24699,0.4200,0.5261,-0.7365,0.0672,6.1211,3.7930,-6.3828,-0.4785,1.4590,0.3965,-0.7031,0.1953,-0.0859,4
2,?,NONE,24828,0.5486,0.4677,-0.6746,0.1588,8.2656,2.8750,-3.3594,-0.1348,3.0645,0.7129,-1.4063,0.4180,-0.0312,4
2,?,NONE,24839,0.5591,0.4623,-0.6675,0.1679,8.8086,2.4531,-2.9375,-0.1348,3.0645,0.7129,-1.4063,0.4180,-0.0312,4
